"BULAN"|"WITEL"|"STO"|"TOTAL"|"PLEVEL1"|"PLEVEL2"|"JUMLAH"|"SUBTOTAL"
"202208"|BOGOR|CLS|0|CATEGORY_LATENCY|BAD|220|0
"202208"|BOGOR|CLS|0|CATEGORY_LATENCY|GOOD|5095|0
"202208"|BOGOR|CLS|0|CATEGORY_LATENCY|VERY BAD|2|0
"202208"|BOGOR|CLS|0|CATEGORY_LATENCY|VERY GOOD|2914|0
"202208"|BOGOR|CNE|0|CATEGORY_LATENCY|UNKNOWN|2548|0
"202208"|BOGOR|CNE|0|CATEGORY_LATENCY|ACCEPTABLE|1446|0
"202208"|BOGOR|CNE|0|CATEGORY_LATENCY|BAD|149|0
"202208"|BOGOR|CNE|0|CATEGORY_LATENCY|GOOD|3435|0
"202208"|BOGOR|CNE|0|CATEGORY_LATENCY|VERY BAD|3|0
"202208"|BOGOR|CNE|0|CATEGORY_LATENCY|VERY GOOD|1972|0
"202208"|BOGOR|CPS|0|CATEGORY_LATENCY|UNKNOWN|1060|0
"202208"|BOGOR|CPS|0|CATEGORY_LATENCY|ACCEPTABLE|1816|0
"202208"|BOGOR|CPS|0|CATEGORY_LATENCY|BAD|386|0
"202208"|BOGOR|CPS|0|CATEGORY_LATENCY|GOOD|2735|0
